id,main_db_topic_id,subject_id,subject_label,name,grade,class_level,level_tag,topic_family,classes,last_synced_at,status,created_at,updated_at
73,329,1,math,"Area, Perimeter & Surface Area",grade 6,,Intermediate,Measurement,5,"""2026-05-21T10:19:24.565Z""",active,"""2026-05-21T10:15:48.042Z""","""2026-05-21T10:19:24.565Z"""
74,330,1,math,Statistics & Measures of Average,grade 6,,Elementary,Data & Statistics,5,"""2026-05-21T10:19:24.638Z""",active,"""2026-05-21T10:15:48.079Z""","""2026-05-21T10:19:24.639Z"""
75,331,1,math,Set Theory,grade 6,,Beginner,Enrichment,2,"""2026-05-21T10:19:24.684Z""",active,"""2026-05-21T10:15:48.114Z""","""2026-05-21T10:19:24.685Z"""
76,332,1,math,Integer Operations,grade 7,,Elementary,Number Theory,5,"""2026-05-21T10:19:24.730Z""",active,"""2026-05-21T10:15:48.149Z""","""2026-05-21T10:19:24.731Z"""
77,333,1,math,Fraction & Decimal Operations,grade 7,,Expert,Fractions,5,"""2026-05-21T10:19:24.779Z""",active,"""2026-05-21T10:15:48.184Z""","""2026-05-21T10:19:24.780Z"""
78,334,1,math,Rational Numbers,grade 7,,Beginner,Number Theory,5,"""2026-05-21T10:19:24.833Z""",active,"""2026-05-21T10:15:48.261Z""","""2026-05-21T10:19:24.834Z"""
79,335,1,math,Exponents & Powers,grade 7,,Beginner,Number Theory,4,"""2026-05-21T10:19:24.875Z""",active,"""2026-05-21T10:15:48.293Z""","""2026-05-21T10:19:24.875Z"""
80,336,1,math,Percentages,grade 7,,Intermediate,Ratios & Percentages,5,"""2026-05-21T10:19:25.003Z""",active,"""2026-05-21T10:15:48.362Z""","""2026-05-21T10:19:25.003Z"""
81,337,1,math,Financial Mathematics,grade 7,,Intermediate,Financial Literacy,4,"""2026-05-21T10:19:25.051Z""",active,"""2026-05-21T10:15:48.480Z""","""2026-05-21T10:19:25.051Z"""
82,338,1,math,Lines & Angles,grade 7,,Intermediate,Geometry,4,"""2026-05-21T10:19:25.088Z""",active,"""2026-05-21T10:15:48.514Z""","""2026-05-21T10:19:25.088Z"""
83,339,1,math,Properties of Triangles,grade 7,,Beginner,Geometry,4,"""2026-05-21T10:19:25.130Z""",active,"""2026-05-21T10:15:48.547Z""","""2026-05-21T10:19:25.130Z"""
84,340,1,math,Congruence of Triangles,grade 7,,Beginner,Geometry,3,"""2026-05-21T10:19:25.179Z""",active,"""2026-05-21T10:15:48.584Z""","""2026-05-21T10:19:25.179Z"""
85,341,1,math,Geometric Constructions,grade 7,,Beginner,Geometry,3,"""2026-05-21T10:19:25.228Z""",active,"""2026-05-21T10:15:48.619Z""","""2026-05-21T10:19:25.228Z"""
86,342,1,math,Algebraic Expressions,grade 7,,Elementary,Patterns & Algebra,6,"""2026-05-21T10:19:25.272Z""",active,"""2026-05-21T10:15:48.654Z""","""2026-05-21T10:19:25.273Z"""
87,343,1,math,Linear Equations,grade 7,,Beginner,Patterns & Algebra,5,"""2026-05-21T10:19:25.312Z""",active,"""2026-05-21T10:15:48.687Z""","""2026-05-21T10:19:25.312Z"""
88,344,1,math,Statistics & Central Tendency,grade 7,,Intermediate,Data & Statistics,4,"""2026-05-21T10:19:25.361Z""",active,"""2026-05-21T10:15:48.722Z""","""2026-05-21T10:19:25.362Z"""
89,345,1,math,Perimeter & Area,grade 7,,Advanced,Measurement,4,"""2026-05-21T10:19:25.555Z""",active,"""2026-05-21T10:15:48.755Z""","""2026-05-21T10:19:25.555Z"""
90,346,1,math,Symmetry,grade 7,,Beginner,Geometry,2,"""2026-05-21T10:19:25.868Z""",active,"""2026-05-21T10:15:48.795Z""","""2026-05-21T10:19:25.868Z"""
91,347,1,math,Surface Area & Volume,grade 7,,Beginner,Measurement,5,"""2026-05-21T10:19:25.906Z""",active,"""2026-05-21T10:15:48.873Z""","""2026-05-21T10:19:25.906Z"""
92,348,1,math,Rational Number Systems,grade 8,,Elementary,Number Theory,5,"""2026-05-21T10:19:26.073Z""",active,"""2026-05-21T10:15:49.040Z""","""2026-05-21T10:19:26.073Z"""
